ID (User Story),Feature (Tính năng),Giao thức,Endpoint (Phương thức & Đường dẫn),Đầu vào (Input),Đầu ra (Output),Ghi chú
,Xem chi tiết một sản phẩm,HTTPS,GET /seller/products/{id},"Auth: Bearer Token

Path: id (string)","{
  ""id"": ""string"",
  ""name"": ""string"",
  ""description"": ""string"",
  ""price"": ""number"",
  ""stock"": ""number"",
  ""category"": ""string"",
  ""imageUrl"": ""string"",
  ""unit"": ""string"",
  ""isActive"": ""boolean"",
  ""createdAt"": ""string (ISO 8601)"",
  ""updatedAt"": ""string (ISO 8601)""
}",Chi tiết sản phẩm
,Thêm sản phẩm mới,HTTPS,POST /seller/products,"Auth: Bearer Token

Body:
{
  ""name"": ""string"",
  ""description"": ""string"",
  ""price"": ""number"",
  ""stock"": ""number"",
  ""category"": ""string"",
  ""imageUrl"": ""string"" (optional),
  ""unit"": ""string"",
  ""isActive"": ""boolean"" (default: true)
}","{
  ""success"": true,
  ""product"": {
    ""id"": ""string"",
    ""name"": ""string"",
    ""description"": ""string"",
    ""price"": ""number"",
    ""stock"": ""number"",
    ""category"": ""string"",
    ""imageUrl"": ""string"",
    ""unit"": ""string"",
    ""isActive"": ""boolean"",
    ""createdAt"": ""string (ISO 8601)""
  }
}",Tạo sản phẩm mới
,Cập nhật thông tin sản phẩm,HTTPS,PUT /seller/products/{id},"Auth: Bearer Token

Path: id (string)

Body: (Partial Product)
{
  ""name"": ""string"" (optional),
  ""description"": ""string"" (optional),
  ""price"": ""number"" (optional),
  ""stock"": ""number"" (optional),
  ""category"": ""string"" (optional),
  ""imageUrl"": ""string"" (optional),
  ""unit"": ""string"" (optional),
  ""isActive"": ""boolean"" (optional)
}","{
  ""success"": true,
  ""product"": {
    ""id"": ""string"",
    ""name"": ""string"",
    ""description"": ""string"",
    ""price"": ""number"",
    ""stock"": ""number"",
    ""category"": ""string"",
    ""imageUrl"": ""string"",
    ""unit"": ""string"",
    ""isActive"": ""boolean"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",Cập nhật sản phẩm
SS-006,Cập nhật tồn kho sản phẩm,HTTPS,PUT /seller/inventory,"Auth: Bearer Token

Body:
{
  ""productId"": ""string"",
  ""stock"": ""number"",
  ""action"": ""set"" | ""increase"" | ""decrease""
}","{
  ""success"": true,
  ""product"": {
    ""id"": ""string"",
    ""stock"": ""number"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",US-104 - Cập nhật tồn kho
,Lấy danh sách tồn kho,HTTPS,GET /seller/inventory,"Auth: Bearer Token

Query Params:
- category (string)
- status (string): ""in_stock"" | ""low_stock"" | ""out_of_stock""
- page (number)
- limit (number)","{
  ""data"": [
    {
      ""productId"": ""string"",
      ""productName"": ""string"",
      ""currentStock"": ""number"",
      ""minStockLevel"": ""number"",
      ""status"": ""string""
    }
  ],
  ""pagination"": {...}
}",US-104 - Danh sách tồn kho
,Xóa sản phẩm,HTTPS,DELETE /seller/products/{id},"Auth: Bearer Token

Path: id (string)","{
  ""success"": true,
  ""message"": ""Product deleted successfully""
}",Xóa sản phẩm khỏi hệ thống
,Bật/Tắt hiển thị sản phẩm,HTTPS,PATCH /seller/products/{id}/toggle-active,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""isActive"": ""boolean""
}","{
  ""success"": true,
  ""product"": {
    ""id"": ""string"",
    ""isActive"": ""boolean"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",Ẩn/Hiện sản phẩm
SS-007,Cập nhật trạng thái xử lý đơn,HTTPS,PUT /seller/orders/{id}/status,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""status"": ""processing"" | ""ready"" | ""shipping"" | ""delivered""
}","{
  ""success"": true,
  ""order"": {
    ""id"": ""string"",
    ""status"": ""string"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",US-106 - Trạng thái giao hàng
SS-008,Phản hồi đánh giá khách hàng,HTTPS,POST /seller/reviews/{id}/reply,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""text"": ""string""
}","{
  ""success"": true,
  ""review"": {
    ""id"": ""string"",
    ""sellerResponse"": {
      ""text"": ""string"",
      ""timestamp"": ""string (ISO 8601)""
    }
  }
}",US-108 - Trả lời đánh giá
,Xem danh sách đánh giá,HTTPS,GET /seller/reviews,"Auth: Bearer Token

Query Params:
- productId (string) (optional)
- rating (number): 1-5 (optional)
- page (number)
- limit (number)","{
  ""data"": [...],
  ""pagination"": {...}
}",Danh sách đánh giá
SS-009,Xem thông tin cửa hàng,HTTPS,GET /seller/store/profile,"Auth: Bearer Token","{
  ""id"": ""string"",
  ""name"": ""string"",
  ""description"": ""string"",
  ""logo"": ""string"",
  ""coverImage"": ""string"",
  ""address"": ""string"",
  ""phone"": ""string"",
  ""email"": ""string"",
  ""openingHours"": ""string"",
  ""isActive"": ""boolean"",
  ""rating"": ""number"",
  ""totalReviews"": ""number"",
  ""createdAt"": ""string (ISO 8601)"",
  ""updatedAt"": ""string (ISO 8601)""
}",Thông tin cửa hàng
,Cập nhật thông tin cửa hàng,HTTPS,PUT /seller/store/profile,"Auth: Bearer Token

Body: (Partial StoreProfile)
{
  ""name"": ""string"" (optional),
  ""description"": ""string"" (optional),
  ""logo"": ""string"" (optional),
  ""coverImage"": ""string"" (optional),
  ""address"": ""string"" (optional),
  ""phone"": ""string"" (optional),
  ""email"": ""string"" (optional),
  ""openingHours"": ""string"" (optional)
}","{
  ""success"": true,
  ""store"": {
    ""id"": ""string"",
    ""name"": ""string"",
    ""description"": ""string"",
    ""logo"": ""string"",
    ""coverImage"": ""string"",
    ""address"": ""string"",
    ""phone"": ""string"",
    ""email"": ""string"",
    ""openingHours"": ""string"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",Cập nhật thông tin cửa hàng
,Xem cài đặt cửa hàng,HTTPS,GET /seller/store/settings,"Auth: Bearer Token","{
  ""currency"": ""string"",
  ""language"": ""string"",
  ""timezone"": ""string"",
  ""taxRate"": ""number"",
  ""shippingEnabled"": ""boolean"",
  ""autoAcceptOrders"": ""boolean"",
  ""notificationEnabled"": ""boolean""
}",Cài đặt cửa hàng
,Cập nhật cài đặt cửa hàng,HTTPS,PUT /seller/store/settings,"Auth: Bearer Token

Body: (Partial StoreSettings)
{
  ""currency"": ""string"" (optional),
  ""language"": ""string"" (optional),
  ""timezone"": ""string"" (optional),
  ""taxRate"": ""number"" (optional),
  ""shippingEnabled"": ""boolean"" (optional),
  ""autoAcceptOrders"": ""boolean"" (optional),
  ""notificationEnabled"": ""boolean"" (optional)
}","{
  ""success"": true,
  ""settings"": {
    ""currency"": ""string"",
    ""language"": ""string"",
    ""timezone"": ""string"",
    ""taxRate"": ""number"",
    ""shippingEnabled"": ""boolean"",
    ""autoAcceptOrders"": ""boolean"",
    ""notificationEnabled"": ""boolean"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",Cập nhật cài đặt
SS-006,Upload hình ảnh sản phẩm,HTTPS,POST /seller/upload/product-image,"Auth: Bearer Token

Content-Type: multipart/form-data

Body:
- file (File): Image file (jpg, png, webp)
- productId (string): ID sản phẩm (optional)","{
  ""success"": true,
  ""imageUrl"": ""string"",
  ""fileName"": ""string"",
  ""fileSize"": ""number""
}",Upload ảnh sản phẩm
,Upload logo/ảnh bìa cửa hàng,HTTPS,POST /seller/upload/store-image,"Auth: Bearer Token

Content-Type: multipart/form-data

Body:
- file (File): Image file
- type (string): ""logo"" | ""cover""","{
  ""success"": true,
  ""imageUrl"": ""string"",
  ""type"": ""string"",
  ""fileName"": ""string"",
  ""fileSize"": ""number""
}",Upload ảnh cửa hàng
SS-007,Xem danh sách thông báo,HTTPS,GET /seller/notifications,"Auth: Bearer Token

Query Params:
- page (number)
- limit (number)
- isRead (boolean) (optional)","{
  ""data"": [
    {
      ""id"": ""string"",
      ""type"": ""order_new"" | ""order_cancelled"" | ""low_stock"" | ""system"",
      ""title"": ""string"",
      ""message"": ""string"",
      ""isRead"": ""boolean"",
      ""relatedId"": ""string"" (optional),
      ""createdAt"": ""string (ISO 8601)""
    }
  ],
  ""pagination"": {
    ""currentPage"": ""number"",
    ""limit"": ""number"",
    ""totalPages"": ""number"",
    ""totalItems"": ""number""
  },
  ""unreadCount"": ""number""
}",Quản lý thông báo
,Đánh dấu đã đọc thông báo,HTTPS,PATCH /seller/notifications/{id}/read,"Auth: Bearer Token

Path: id (string)","{
  ""success"": true,
  ""notification"": {
    ""id"": ""string"",
    ""isRead"": true,
    ""updatedAt"": ""string (ISO 8601)""
  }
}",Đọc thông báo
,Đánh dấu đã đọc tất cả thông báo,HTTPS,PATCH /seller/notifications/read-all,"Auth: Bearer Token

Body: {}","{
  ""success"": true,
  ""updatedCount"": ""number""
}",Đọc tất cả thông báo
,Xóa thông báo,HTTPS,DELETE /seller/notifications/{id},"Auth: Bearer Token

Path: id (string)","{
  ""success"": true
}",Xóa thông báo
SS-008,Push Notification (Đơn hàng mới),Push (FCM/APNs),(Server-to-Client),"Event: order_created
- orderId (string)
- customerName (string)
- total (number)",Client nhận Push Notification,Thông báo đơn hàng mới
,Push Notification (Cảnh báo tồn kho thấp),Push (FCM/APNs),(Server-to-Client),"Event: low_stock_alert
- productId (string)
- productName (string)
- currentStock (number)",Client nhận Push Notification,Cảnh báo hết hàng
SS-009,Báo cáo doanh thu theo thời gian,HTTPS,GET /seller/reports/revenue,"Auth: Bearer Token

Query Params:
- startDate (string ISO 8601)
- endDate (string ISO 8601)
- groupBy (string): ""day"" | ""week"" | ""month""","{
  ""data"": [
    {
      ""period"": ""string"",
      ""revenue"": ""number"",
      ""orders"": ""number"",
      ""avgOrderValue"": ""number""
    }
  ],
  ""summary"": {
    ""totalRevenue"": ""number"",
    ""totalOrders"": ""number"",
    ""avgOrderValue"": ""number""
  }
}",Báo cáo doanh thu
,Báo cáo sản phẩm bán chạy,HTTPS,GET /seller/reports/top-products,"Auth: Bearer Token

Query Params:
- startDate (string ISO 8601)
- endDate (string ISO 8601)
- limit (number)
- sortBy (string): ""sales"" | ""revenue""","{
  ""data"": [
    {
      ""productId"": ""string"",
      ""productName"": ""string"",
      ""sales"": ""number"",
      ""revenue"": ""number"",
      ""avgPrice"": ""number"",
      ""imageUrl"": ""string""
    }
  ]
}",Sản phẩm bán chạy
,Báo cáo theo danh mục,HTTPS,GET /seller/reports/categories,"Auth: Bearer Token

Query Params:
- startDate (string ISO 8601)
- endDate (string ISO 8601)","{
  ""data"": [
    {
      ""category"": ""string"",
      ""revenue"": ""number"",
      ""orders"": ""number"",
      ""products"": ""number"",
      ""percentage"": ""number""
    }
  ]
}",Phân tích theo danh mục
SS-010,Trò chuyện với khách hàng (WebSocket),WebSocket (WSS),WSS /seller/chat/{conversationId},"Auth: Bearer Token

Path: conversationId (string)

Send Message:
{
  ""id"": ""string""/uuid,
  ""text"": ""string"",
  ""attachments"": [
    {
      ""type"": ""image"" | ""file"",
      ""url"": ""string""
    }
  ] (optional)
}","Receive Message:
{
  ""id"": ""string"",
  ""conversationId"": ""string"",
  ""senderId"": ""string"",
  ""senderType"": ""customer"" | ""seller"",
  ""text"": ""string"",
  ""attachments"": [...] (optional),
  ""timestamp"": ""string (ISO 8601)""
}",Chat realtime với khách
,Lấy danh sách cuộc trò chuyện,HTTPS,GET /seller/chat/conversations,"Auth: Bearer Token

Query Params:
- page (number)
- limit (number)
- status (string): ""active"" | ""archived""","{
  ""data"": [
    {
      ""id"": ""string"",
      ""customerId"": ""string"",
      ""customerName"": ""string"",
      ""lastMessage"": ""string"",
      ""unreadCount"": ""number"",
      ""timestamp"": ""string (ISO 8601)"",
      ""status"": ""active"" | ""archived""
    }
  ],
  ""pagination"": {
    ""currentPage"": ""number"",
    ""limit"": ""number"",
    ""totalPages"": ""number"",
    ""totalItems"": ""number""
  }
}",Danh sách chat
,Lấy lịch sử tin nhắn,HTTPS,GET /seller/chat/{conversationId}/messages,"Auth: Bearer Token

Path: conversationId (string)

Query Params:
- page (number)
- limit (number)
- before (string ISO 8601) (optional)","{
  ""data"": [
    {
      ""id"": ""string"",
      ""senderId"": ""string"",
      ""senderType"": ""customer"" | ""seller"",
      ""text"": ""string"",
      ""attachments"": [...] (optional),
      ""timestamp"": ""string (ISO 8601)""
    }
  ],
  ""pagination"": {
    ""currentPage"": ""number"",
    ""limit"": ""number"",
    ""totalPages"": ""number"",
    ""totalItems"": ""number""
  }
}",Lịch sử chat
SS-011,Quản lý khuyến mãi - Xem danh sách,HTTPS,GET /seller/promotions,"Auth: Bearer Token

Query Params:
- status (string): ""active"" | ""expired"" | ""scheduled""
- page (number)
- limit (number)","{
  ""data"": [
    {
      ""id"": ""string"",
      ""name"": ""string"",
      ""type"": ""percentage"" | ""fixed_amount"" | ""buy_x_get_y"",
      ""value"": ""number"",
      ""startDate"": ""string (ISO 8601)"",
      ""endDate"": ""string (ISO 8601)"",
      ""status"": ""string"",
      ""usageCount"": ""number"",
      ""maxUsage"": ""number""
    }
  ],
  ""pagination"": {...}
}",Quản lý khuyến mãi
,Tạo khuyến mãi mới,HTTPS,POST /seller/promotions,"Auth: Bearer Token

Body:
{
  ""name"": ""string"",
  ""type"": ""percentage"" | ""fixed_amount"" | ""buy_x_get_y"",
  ""value"": ""number"",
  ""startDate"": ""string (ISO 8601)"",
  ""endDate"": ""string (ISO 8601)"",
  ""maxUsage"": ""number"" (optional),
  ""minOrderValue"": ""number"" (optional),
  ""applicableProducts"": [""string""] (optional)
}","{
  ""success"": true,
  ""promotion"": {
    ""id"": ""string"",
    ""name"": ""string"",
    ""type"": ""string"",
    ""value"": ""number"",
    ""startDate"": ""string (ISO 8601)"",
    ""endDate"": ""string (ISO 8601)"",
    ""status"": ""scheduled"",
    ""createdAt"": ""string (ISO 8601)""
  }
}",Tạo khuyến mãi
,Cập nhật khuyến mãi,HTTPS,PUT /seller/promotions/{id},"Auth: Bearer Token

Path: id (string)

Body: (Partial Promotion)
{...}","{
  ""success"": true,
  ""promotion"": {...}
}",Sửa khuyến mãi
,Xóa khuyến mãi,HTTPS,DELETE /seller/promotions/{id},"Auth: Bearer Token

Path: id (string)","{
  ""success"": true
}",Xóa khuyến mãi
SS-012,Xem danh sách đánh giá sản phẩm,HTTPS,GET /seller/reviews,"Auth: Bearer Token

Query Params:
- productId (string) (optional)
- rating (number): 1-5 (optional)
- page (number)
- limit (number)","{
  ""data"": [
    {
      ""id"": ""string"",
      ""productId"": ""string"",
      ""productName"": ""string"",
      ""customerId"": ""string"",
      ""customerName"": ""string"",
      ""rating"": ""number"",
      ""comment"": ""string"",
      ""images"": [""string""],
      ""createdAt"": ""string (ISO 8601)"",
      ""sellerResponse"": {
        ""text"": ""string"",
        ""timestamp"": ""string (ISO 8601)""
      } (optional)
    }
  ],
  ""pagination"": {...},
  ""summary"": {
    ""averageRating"": ""number"",
    ""totalReviews"": ""number"",
    ""ratingDistribution"": {
      ""5"": ""number"",
      ""4"": ""number"",
      ""3"": ""number"",
      ""2"": ""number"",
      ""1"": ""number""
    }
  }
}",Quản lý đánh giá
,Phản hồi đánh giá,HTTPS,POST /seller/reviews/{id}/response,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""text"": ""string""
}","{
  ""success"": true,
  ""review"": {
    ""id"": ""string"",
    ""sellerResponse"": {
      ""text"": ""string"",
      ""timestamp"": ""string (ISO 8601)""
    }
  }
}",Trả lời đánh giá
SS-013,Xuất báo cáo Excel/PDF,HTTPS,GET /seller/reports/export,"Auth: Bearer Token

Query Params:
- type (string): ""revenue"" | ""products"" | ""orders""
- format (string): ""excel"" | ""pdf""
- startDate (string ISO 8601)
- endDate (string ISO 8601)","Response: File download (binary)

Headers:
Content-Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
hoặc application/pdf
Content-Disposition: attachment; filename=""report.xlsx""",Xuất báo cáo
